Case Number,Month_classifier,Year_classified,Type_classified,Country_classified,Area,Location,Activity_classified,Sex_classified,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Fatal_classified
2018.06.25,June,2018,Something in a boat activitie,Usa,California,"Oceanside, San Diego County",Paddling,F,"R. Collier, GSAF",2018.06.25-Wolfe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf,2018.06.25,2018.06.25,6303.0,No
2018.06.18,June,2018,Unprovoked,Usa,Georgia,"St. Simon Island, Glynn County",Standing,F,"K.McMurray, TrackingSharks.com",2018.06.18-McNeely.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf,2018.06.18,2018.06.18,6302.0,No
2018.06.09,June,2018,Invalid,Usa,Hawaii,"Habush, Oahu",Surfing,M,"K.McMurray, TrackingSharks.com",2018.06.09-Denges.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf,2018.06.09,2018.06.09,6301.0,No
2018.06.08,June,2018,Unprovoked,Australia,New South Wales,Arrawarra Headland,Surfing,M,"B. Myatt, GSAF",2018.06.08-Arrawarra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf,2018.06.08,2018.06.08,6300.0,No
2018.06.04,June,2018,Provoked,Mexico,Colima,La Ticla,Freediving,M,A .Kipper,2018.06.04-Ramos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf,2018.06.04,2018.06.04,6299.0,No
2018.06.03.b,June,2018,Unprovoked,Australia,New South Wales,"Flat Rock, Ballina",Kitesurfing,M,"Daily Telegraph, 6/4/2018",2018.06.03.b-FlatRock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf,2018.06.03.b,2018.06.03.b,6298.0,No
2018.06.03.a,June,2018,Unprovoked,Brazil,Pernambuco,"Piedade Beach, Recife",Swimming,M,"Diario de Pernambuco, 6/4/2018",2018.06.03.a-daSilva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf,2018.06.03.a,2018.06.03.a,6297.0,Yes
2018.05.27,May,2018,Unprovoked,Usa,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,"K. McMurray, TrackingSharks.com",2018.05.27-Ponce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf,2018.05.27,2018.05.27,6296.0,No
2018.05.26.b,May,2018,Unprovoked,Usa,Florida,"Cocoa Beach, Brevard  County",Walking,M,"K.McMurray, TrackingSharks.com",2018.05.26.b-High.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf,2018.05.26.b,2018.05.26.b,6295.0,No
2018.05.26.a,May,2018,Unprovoked,Usa,Florida,"Daytona Beach, Volusia County",Standing,M,"K. McMurray, Tracking Sharks.com",2018.05.26.a-DaytonaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf,2018.05.26.a,2018.05.26.a,6294.0,No
2018.05.24,May,2018,Provoked,Australia,Queensland,Cairns Aquarium,Feeding,M,"ABC.net.au ,05/24/2018",2018.05.24-CairnsAquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,2018.05.24,2018.05.24,6293.0,No
2018.05.21,May,2018,Unprovoked,Usa,South Carolina,"Isle of Palms,  Charleston County",Boogieboarding,M,"C. Creswell, GSAF",2018.05.21-deBoer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,2018.05.21,2018.05.21,6292.0,No
2018.05.13.b,May,2018,Unprovoked,Usa,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",2018.05.13.b-Turrell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,2018.05.13.b,2018.05.13.b,6291.0,No
2018.05.13.a,May,2018,Invalid,England,Cornwall,Off Land's End,Fishing,M,"K. McMurray, TrackingSharks.com",2018.05.13.a-Berryman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,2018.05.13.a,2018.05.13.a,6290.0,No
